Model,Score Unhandaled,Score SMOTE-ENN,Score Oversampled
decision_tree,0.7691185745821507,0.8927485698719695,0.8710361716398122
random_forest,0.8412172816146326,0.9522745845818578,0.9297234483941913
gradient_boost,0.7537251655629139,0.5453663851811495,0.520597089423032
naive_byers,0.8508554083885209,0.7348297466630346,0.723978724399869
logistic_regression,0.8438386944181646,0.5724107872514301,0.5298544711515965
knn,0.8482339955849889,0.5832743121765187,0.5330676482974841
neural_network,0.8333530432040366,0.9551402887496595,0.8623403160144125
